treatment,replicate,number,germ.or.not,num.day,num.week
wet40,3,20,yes,11,2
wet40,3,21,yes,11,2
wet40,3,22,no,na,na
wet40,3,23,yes,11,2
wet40,3,24,yes,26,4
wet40,3,25,yes,11,2
wet20,1,1,no,na,na
wet20,1,2,no,na,na
wet20,1,3,no,na,na
wet20,1,4,yes,25,4
wet20,1,5,no,na,na
wet20,1,6,no,na,na
wet20,1,7,yes,9,1
wet20,1,8,no,na,na
wet20,1,9,no,na,na
wet20,1,10,no,na,na
wet20,1,11,no,na,na
wet20,1,12,no,na,na
wet20,1,13,no,na,na
wet20,1,14,no,na,na
wet20,1,15,no,na,na
wet20,1,16,no,na,na
wet20,1,17,no,na,na
wet20,1,18,no,na,na
wet20,1,19,yes,9,1
wet20,1,20,no,na,na
wet20,1,21,no,na,na
wet20,1,22,no,na,na
wet20,1,23,no,na,na
wet20,1,24,no,na,na
wet20,1,25,no,na,na
wet20,2,1,no,na,na
wet20,2,2,no,na,na
wet20,2,3,no,na,na
wet20,2,4,yes,9,1
wet20,2,5,yes,25,4
wet20,2,6,no,na,na
wet20,2,7,yes,17,2
wet20,2,8,no,na,na
wet20,2,9,no,na,na
wet20,2,10,no,na,na
wet20,2,11,no,na,na
wet20,2,12,no,na,na
wet20,2,13,no,na,na
wet20,2,14,no,na,na
wet20,2,15,yes,9,1
wet20,2,16,no,na,na
wet20,2,17,no,na,na
wet20,2,18,yes,9,1
wet20,2,19,no,na,na
wet20,2,20,yes,17,2
wet20,2,21,no,na,na
wet20,2,22,no,na,na
wet20,2,23,no,na,na
wet20,2,24,yes,9,1
wet20,2,25,no,na,na
wet20,3,1,no,na,na
wet20,3,2,no,na,na
wet20,3,3,no,na,na
wet20,3,4,no,na,na
wet20,3,5,yes,17,2
wet20,3,6,yes,9,1
wet20,3,7,yes,9,1
wet20,3,8,yes,17,2
wet20,3,9,no,na,na
wet20,3,10,yes,17,2
wet20,3,11,yes,9,1
wet20,3,12,no,na,na
wet20,3,13,no,na,na
wet20,3,14,no,na,na
wet20,3,15,no,na,na
wet20,3,16,yes,17,2
wet20,3,17,no,na,na
wet20,3,18,yes,9,1
wet20,3,19,yes,9,1
wet20,3,20,no,na,na
wet20,3,21,yes,9,1
wet20,3,22,yes,25,4
wet20,3,23,no,na,na
wet20,3,24,no,na,na
wet20,3,25,yes,9,1
